time,place,crimes
2016-07-31,22,0
2016-07-31,23,2
2016-07-31,24,0
2016-07-31,25,2
2016-07-31,31,7
2016-07-31,39,2
2016-07-31,40,10
2016-07-31,41,15
2016-07-31,42,14
2016-07-31,43,2
2016-07-31,44,3
2016-07-31,47,0
2016-07-31,48,2
2016-07-31,49,28
2016-07-31,50,8
2016-07-31,57,10
2016-07-31,58,15
2016-07-31,59,24
2016-07-31,60,5
2016-07-31,61,5
2016-07-31,65,0
2016-07-31,66,14
2016-07-31,67,50
2016-07-31,68,7
2016-07-31,75,9
2016-07-31,76,7
2016-07-31,77,5
2016-07-31,78,33
2016-07-31,79,0
2016-07-31,83,0
2016-07-31,84,36
2016-07-31,85,41
2016-07-31,86,28
2016-07-31,90,1
2016-07-31,91,8
2016-07-31,92,7
2016-07-31,93,8
2016-07-31,94,1
2016-07-31,95,19
2016-07-31,96,21
2016-07-31,97,6
2016-07-31,98,0
2016-07-31,102,40
2016-07-31,103,61
2016-07-31,104,42
2016-07-31,105,1
2016-07-31,108,7
2016-07-31,109,19
2016-07-31,110,21
2016-07-31,111,5
2016-07-31,112,8
2016-07-31,113,29
2016-07-31,114,41
2016-07-31,115,9
2016-07-31,116,1
2016-07-31,117,0
2016-07-31,120,1
2016-07-31,121,99
2016-07-31,122,37
2016-07-31,123,1
2016-07-31,126,1
2016-07-31,127,21
2016-07-31,128,30
2016-07-31,129,54
2016-07-31,130,37
2016-07-31,131,32
2016-07-31,132,44
2016-07-31,133,22
2016-07-31,134,8
2016-07-31,135,5
2016-07-31,136,0
2016-07-31,139,22
2016-07-31,140,10
2016-07-31,141,0
2016-07-31,145,6
2016-07-31,146,4
2016-07-31,147,25
2016-07-31,148,15
2016-07-31,149,25
2016-07-31,150,27
2016-07-31,151,29
2016-07-31,152,30
2016-07-31,153,40
2016-07-31,154,32
2016-07-31,155,18
2016-07-31,156,1
2016-07-31,157,3
2016-07-31,158,3
2016-07-31,165,9
2016-07-31,166,40
2016-07-31,167,12
2016-07-31,168,13
2016-07-31,169,1
2016-07-31,170,35
2016-07-31,171,74
2016-07-31,172,126
2016-07-31,173,58
2016-07-31,174,34
2016-07-31,175,7
2016-07-31,183,0
2016-07-31,184,69
2016-07-31,185,79
2016-07-31,186,85
2016-07-31,187,18
2016-07-31,188,1
2016-07-31,189,101
2016-07-31,190,75
2016-07-31,191,102
2016-07-31,192,86
2016-07-31,193,69
2016-07-31,202,19
2016-07-31,203,65
2016-07-31,204,99
2016-07-31,205,94
2016-07-31,206,107
2016-07-31,207,114
2016-07-31,208,91
2016-07-31,209,151
2016-07-31,210,103
2016-07-31,211,108
2016-07-31,220,21
2016-07-31,221,29
2016-07-31,222,84
2016-07-31,223,111
2016-07-31,224,139
2016-07-31,225,112
2016-07-31,226,120
2016-07-31,227,187
2016-07-31,228,134
2016-07-31,229,182
2016-07-31,230,0
2016-07-31,232,1
2016-07-31,233,16
2016-07-31,238,6
2016-07-31,239,48
2016-07-31,240,117
2016-07-31,241,96
2016-07-31,242,156
2016-07-31,243,173
2016-07-31,244,78
2016-07-31,245,88
2016-07-31,246,110
2016-07-31,247,193
2016-07-31,248,101
2016-07-31,249,8
2016-07-31,250,41
2016-07-31,251,1
2016-07-31,256,4
2016-07-31,257,7
2016-07-31,258,59
2016-07-31,259,125
2016-07-31,260,101
2016-07-31,261,113
2016-07-31,262,84
2016-07-31,263,44
2016-07-31,264,63
2016-07-31,265,158
2016-07-31,266,303
2016-07-31,267,62
2016-07-31,268,72
2016-07-31,275,6
2016-07-31,276,43
2016-07-31,277,48
2016-07-31,278,4
2016-07-31,279,19
2016-07-31,280,47
2016-07-31,281,96
2016-07-31,282,39
2016-07-31,283,39
2016-07-31,284,93
2016-07-31,285,26
2016-07-31,286,10
2016-07-31,294,8
2016-07-31,295,0
2016-07-31,297,12
2016-07-31,298,16
2016-07-31,299,47
2016-07-31,300,9
2016-07-31,301,15
2016-07-31,303,56
2016-07-31,304,73
2016-07-31,305,6
2016-07-31,317,24
2016-07-31,318,9
2016-07-31,319,3
2016-07-31,320,1
2016-07-31,321,23
2016-07-31,322,78
2016-07-31,323,2
2016-07-31,335,11
2016-07-31,336,2
2016-07-31,337,0
2016-07-31,338,1
2016-07-31,339,0
2016-07-31,340,14
2016-07-31,341,3
2016-07-31,357,0
2016-07-31,358,3
2016-07-31,359,22
2016-07-31,377,31
2016-07-31,394,0
2016-07-31,395,1
2016-07-31,442,0
2016-08-31,22,0
2016-08-31,23,2
2016-08-31,24,0
2016-08-31,25,0
2016-08-31,31,6
2016-08-31,39,2
2016-08-31,40,11
2016-08-31,41,15
2016-08-31,42,1
2016-08-31,43,4
2016-08-31,44,2
2016-08-31,47,0
2016-08-31,48,2
2016-08-31,49,27
2016-08-31,50,3
2016-08-31,57,9
2016-08-31,58,14
2016-08-31,59,14
2016-08-31,60,6
2016-08-31,61,3
2016-08-31,65,0
2016-08-31,66,15
2016-08-31,67,30
2016-08-31,68,4
2016-08-31,75,15
2016-08-31,76,6
2016-08-31,77,8
2016-08-31,78,31
2016-08-31,79,3
2016-08-31,83,10
2016-08-31,84,50
2016-08-31,85,42
2016-08-31,86,22
2016-08-31,90,4
2016-08-31,91,4
2016-08-31,92,5
2016-08-31,93,9
2016-08-31,94,3
2016-08-31,95,13
2016-08-31,96,27
2016-08-31,97,1
2016-08-31,98,0
2016-08-31,102,24
2016-08-31,103,61
2016-08-31,104,26
2016-08-31,105,4
2016-08-31,108,4
2016-08-31,109,14
2016-08-31,110,14
2016-08-31,111,6
2016-08-31,112,7
2016-08-31,113,14
2016-08-31,114,57
2016-08-31,115,2
2016-08-31,116,6
2016-08-31,117,2
2016-08-31,120,0
2016-08-31,121,117
2016-08-31,122,28
2016-08-31,123,0
2016-08-31,126,1
2016-08-31,127,30
2016-08-31,128,34
2016-08-31,129,54
2016-08-31,130,26
2016-08-31,131,32
2016-08-31,132,55
2016-08-31,133,17
2016-08-31,134,7
2016-08-31,135,1
2016-08-31,136,0
2016-08-31,139,26
2016-08-31,140,4
2016-08-31,141,0
2016-08-31,145,11
2016-08-31,146,21
2016-08-31,147,32
2016-08-31,148,24
2016-08-31,149,26
2016-08-31,150,26
2016-08-31,151,27
2016-08-31,152,27
2016-08-31,153,43
2016-08-31,154,30
2016-08-31,155,21
2016-08-31,156,1
2016-08-31,157,7
2016-08-31,158,2
2016-08-31,165,10
2016-08-31,166,64
2016-08-31,167,13
2016-08-31,168,14
2016-08-31,169,5
2016-08-31,170,21
2016-08-31,171,70
2016-08-31,172,145
2016-08-31,173,68
