dataset,metafolds,experiments,cutoff,seed,stage,component,value
cifar10,1,2000,10,1540451,preprocessing,pre_scaling,False
cifar10,1,2000,10,1540451,preprocessing,f_eng1,None
cifar10,1,2000,10,1540451,preprocessing,f_eng2,None
cifar10,1,2000,10,1540451,prediction,scaling,True
cifar10,1,2000,10,1540451,prediction,algorithm,LogisticRegression
cifar10,1,2000,10,1540452,preprocessing,pre_scaling,False
cifar10,1,2000,10,1540452,preprocessing,f_eng1,None
cifar10,1,2000,10,1540452,preprocessing,f_eng2,None
cifar10,1,2000,10,1540452,prediction,scaling,True
cifar10,1,2000,10,1540452,prediction,algorithm,SVM
cifar10,1,2000,10,1540453,preprocessing,pre_scaling,False
cifar10,1,2000,10,1540453,preprocessing,f_eng1,None
cifar10,1,2000,10,1540453,preprocessing,f_eng2,None
cifar10,1,2000,10,1540453,prediction,scaling,True
cifar10,1,2000,10,1540453,prediction,algorithm,LogisticRegression
cifar10,1,2000,10,1540454,preprocessing,pre_scaling,True
cifar10,1,2000,10,1540454,preprocessing,f_eng1,None
cifar10,1,2000,10,1540454,preprocessing,f_eng2,Selection
cifar10,1,2000,10,1540454,prediction,scaling,False
cifar10,1,2000,10,1540454,prediction,algorithm,SVM
cifar10,1,2000,10,1540455,preprocessing,pre_scaling,False
cifar10,1,2000,10,1540455,preprocessing,f_eng1,None
cifar10,1,2000,10,1540455,preprocessing,f_eng2,None
cifar10,1,2000,10,1540455,prediction,scaling,True
cifar10,1,2000,10,1540455,prediction,algorithm,LogisticRegression
cifar10,1,2000,10,1585133,preprocessing,pre_scaling,False
cifar10,1,2000,10,1585133,preprocessing,f_eng1,none
cifar10,1,2000,10,1585133,preprocessing,f_eng2,none
cifar10,1,2000,10,1585133,prediction,scaling,True
cifar10,1,2000,10,1585133,prediction,algorithm,LogisticRegression
cifar10,1,2000,10,1585134,preprocessing,pre_scaling,False
cifar10,1,2000,10,1585134,preprocessing,f_eng1,none
cifar10,1,2000,10,1585134,preprocessing,f_eng2,none
cifar10,1,2000,10,1585134,prediction,scaling,True
